generation genome measures value
3 162 effective_joints 0.52
3 162 length_ratio 0.75
3 162 sensors 0
3 162 symmetry 0
3 162 total_components 0.27
3 146 branching 0
3 146 connectivity1 0.25
3 146 connectivity2 1
3 146 coverage 0.667
3 146 effective_joints 0.5
3 146 length_ratio 1
3 146 sensors 0.285714
3 146 symmetry 0
3 146 total_components 0.06
3 98 branching 0
3 98 connectivity1 0.2
3 98 connectivity2 1
3 98 coverage 1
3 98 effective_joints 1
3 98 length_ratio 0.143
3 98 sensors 1
3 98 symmetry 0
3 98 total_components 0.07
3 176 branching 0
3 176 connectivity1 0.5
3 176 connectivity2 0.5
3 176 coverage 0.5
3 176 effective_joints 0.5
3 176 length_ratio 0.75
3 176 sensors 0
3 176 symmetry 1
3 176 total_components 0.06
3 135 branching 0
3 135 connectivity1 0.2
3 135 connectivity2 1
3 135 coverage 1
3 135 effective_joints 1
3 135 length_ratio 0.143
3 135 sensors 0
3 135 symmetry 0
3 135 total_components 0.07
3 130 branching 0
3 130 connectivity1 0.5
3 130 connectivity2 0.444
3 130 coverage 0.367
3 130 effective_joints 0.222
3 130 length_ratio 0.833
3 130 sensors 0.214286
3 130 symmetry 0
3 130 total_components 0.11
3 112 branching 0
3 112 connectivity1 0.125
3 112 connectivity2 1
3 112 coverage 0.44
3 112 effective_joints 0.333
3 112 length_ratio 1
3 112 sensors 0.166667
3 112 symmetry 0
3 112 total_components 0.11
3 81 branching 0
3 81 connectivity1 0.25
3 81 connectivity2 1
3 81 coverage 0.6
3 81 effective_joints 0.75
3 81 length_ratio 0.4
3 81 sensors 0
3 81 symmetry 0
3 81 total_components 0.06
3 45 branching 0
3 45 connectivity1 0.1
3 45 connectivity2 1
3 45 coverage 0.833
3 45 effective_joints 0.692
3 45 length_ratio 0.5
3 45 sensors 0
3 45 symmetry 0.909
3 45 total_components 0.15
3 154 branching 0
3 154 connectivity1 0.5
3 154 connectivity2 0.333
3 154 coverage 0.556
3 154 effective_joints 0.333
3 154 length_ratio 1
3 154 sensors 0
3 154 symmetry 0
3 154 total_components 0.05
3 158 branching 0
3 158 connectivity1 0.056
3 158 connectivity2 1
3 158 coverage 0.169
3 158 effective_joints 0.52
3 158 length_ratio 0.4
3 158 sensors 0.185185
