generation idgenome branching connectivity1 connectivity2 coverage effective_joints length_ratio sensors symmetry total_components
5 294 0 0.1 1 0.385 0.923 0.231 0 0 0.15
5 295 0 0.5 0.667 0.625 0.333 0.5 0.2 0.5 0.05
5 296 0 0.071 1 1 1 0.05 1 0 0.2
5 297 0 0.167 1 1 0.833 0.125 0 0 0.08
5 298 0 0.167 1 0.571 0.667 0.286 0.142857 0 0.08
5 299 0 0.667 0.5 0.667 0 0.667 0.2 0 0.04
6 300 0 0.125 1 0.55 0.778 0.2 0.142857 0 0.11
6 301 0 0.125 1 1 1 0.083 0.333333 0 0.12
6 302 0 0.125 1 0.429 0.8 0.571 0.142857 0.4 0.12
6 303 0 0.125 1 1 1 0.091 0 0 0.11
6 304 0 0.2 1 1 0.8 0.143 0.2 0 0.07
6 305 0 0.071 1 0.317 0.833 0.778 0.333333 0 0.2
6 306 0 0.2 1 1 1 0.143 0 0 0.07
6 307 0 0.2 1 1 0.8 0.143 0 0 0.07
6 308 0 0.071 1 0.656 0.737 0.5 0 0.222 0.21
6 309 0 0.167 1 1 1 0.111 0 0 0.09
6 310 0 0.111 1 1 0.909 0.077 0 0 0.13
6 311 0 0.25 1 1 1 0.167 0 0 0.06
6 312 0 0.167 1 0.8 0.667 0.4 0.285714 0 0.08
6 313 0 0 0 1 0 1 0 0 0.01
6 314 0 0.1 0.929 0.517 0.643 0.069 0 0 0.3
6 315 0 0.167 1 1 1 0.111 0 0 0.09
6 316 0 0.167 1 1 1 0.125 0.333333 0 0.08
6 317 0 0.25 1 1 1 0.167 0.333333 0 0.06
6 318 0 0.1 1 0.25 0.923 0.6 0 0 0.15
6 319 0 0.167 1 1 1 0.125 0 0 0.08
6 320 0 0.571 0.25 0.5 0.25 0.8 0.5 0.333 0.1
6 321 0 0.5 1 0.75 0 1 0.4 0 0.03
6 322 0 0.167 1 0.4 0.5 0.8 0.111111 0 0.08
6 323 0 0.25 0.8 0.545 0.8 0.182 0 0 0.12
6 324 0 0.333 1 0.667 0.5 0.667 0.125 0 0.04
6 325 0 0.2 1 0.583 0.6 0.333 0 0 0.07
6 326 0 0.4 0.6 0.467 0.6 0.6 0.25 0.5 0.07
6 327 0 0.2 1 0.467 0.8 0.6 0.2 0 0.07
6 328 0 0.125 1 0.458 0.556 0.667 0 0 0.11
6 329 0 0.25 1 1 1 0.167 0.166667 0 0.06
6 330 0 1 0 0.75 0 1 0.2 0 0.03
